Date,Impact,classes_-1,classes_1,roberta_neg,roberta_neu,roberta_pos,tweet_volume,+1D ETH,Price Diff ETH,ETH Volume,ETH_close
2020-01-01,4255,6,14,6.70113827276,15.148669303,16.1501926804,13987.0,0,-3.391825698000005,7935230330.4751,130.802008077
2020-01-02,9203,4,21,6.00640366791,15.207750179,20.7858460538,15920.0,1,6.761530105999995,8032709256.07622,127.410182379
2020-01-03,1228,12,15,12.0835488059,21.996593827999998,15.9198564318,19730.0,1,0.8976587829999971,10476845358.0825,134.171712485
2020-01-04,5093,1,14,3.1523486289,13.243627015,12.604023297,16357.0,1,1.2074054390000128,7430904515.09457,135.069371268
2020-01-05,6856,6,11,6.9644037694,14.3967445785,12.6388521,16533.0,1,8.027377002999998,7526675353.24436,136.276776707
2020-01-06,6253,12,25,12.06279730024,25.689405765,26.247796227,16540.0,0,-0.7601553730000035,9093747120.54445,144.30415371
2020-01-07,-819,10,23,10.83623465576,26.637607149,24.526156867,20950.0,0,-2.2858639220000043,9257954671.54302,143.543998337
2020-01-08,6715,3,13,3.9937491844,16.56261309,14.443637468,20820.0,0,-2.278937759000001,9387194956.58904,141.258134415
2020-01-09,11032,7,17,5.9501833264,15.253521831999999,15.796295173,20500.0,1,4.984584562000009,7697325347.90469,138.979196656
2020-01-10,8452,4,20,5.12852961425,16.591095142,21.280375521,18266.0,0,-1.036666724000014,9084816202.76711,143.963781218
2020-01-11,1809,6,14,5.7628416705,17.117656947,14.1195014984,15900.0,1,2.9468166949999954,9332208590.18775,142.927114494
2020-01-12,184,5,10,5.6928837494,14.43934681,10.8677686787,14383.0,0,-1.6473400479999896,8528167453.24902,145.873931189
2020-01-13,3258,13,20,12.65231972856,25.488950864,20.8587304964,15305.0,1,21.728767470000008,8378529469.79702,144.226591141
2020-01-14,14109,11,26,10.50111407402,33.1409583725,29.357928041,20772.0,1,0.2753264909999871,16712318373.0187,165.955358611
2020-01-15,5606,11,29,11.15225163415,31.936037266,30.9117113744,18142.0,0,-1.8396741139999904,15173694057.1567,166.230685102
2020-01-16,4825,12,19,11.231531703129999,21.15264695,21.615820951299998,18513.0,1,6.388946971999985,13735193017.9104,164.391010988
2020-01-17,17830,6,18,8.0774964376,20.634010792999998,17.2884932725,17272.0,1,4.585713510000005,14997091825.8827,170.77995796
2020-01-18,3312,8,15,6.93385269851,20.980946291,16.0852007205,17651.0,0,-8.395829494999987,14929342255.5251,175.36567147
2020-01-19,1121,11,10,9.38250782165,14.507142105,11.1103500241,20557.0,1,0.1506673599999999,13713374132.1754,166.969841975
2020-01-20,4754,5,9,8.2174999582,18.514522325,12.2679774938,18586.0,1,2.576654574999992,11144529787.0924,167.120509335
2020-01-21,7077,6,25,5.86086764457,24.316409329,24.822722542,19285.0,0,-1.4030022009999925,9789369362.47085,169.69716391
2020-01-22,11223,8,29,7.795152626199999,23.231699272,26.9731492645,19401.0,0,-5.365603281000006,9209827927.92133,168.294161709
2020-01-23,9483,8,17,8.20641773377,18.838758484,17.954823899,18546.0,1,0.1226244329999985,10396868698.0135,162.928558428
2020-01-24,17117,7,19,7.1633972323,14.7206850245,17.1159180632,16643.0,0,-1.7672465079999995,10657671161.8162,163.051182861
2020-01-25,11608,9,18,8.11420067345,13.213981265,16.6718181408,13919.0,1,6.7931641360000015,8256956801.64332,161.283936353
2020-01-26,7900,5,11,5.2978331905000005,9.916383584,9.7857836977,14485.0,1,2.853789943999999,9261861589.61793,168.077100489
2020-01-27,3497,12,19,8.92116701319,18.943912427,19.134920717,18223.0,1,5.4394301080000105,11004476145.2172,170.930890433
2020-01-28,3791,15,25,14.57584125858,23.418783201,25.0053750957,20422.0,0,-1.3199826120000182,11772875063.6629,176.370320541
2020-01-29,11453,11,19,10.73473611835,17.942215241,19.3230484304,22062.0,1,9.640138507000016,10725267310.6002,175.050337929
2020-01-30,20234,2,21,4.4809872112499995,17.183494357,20.335517897,18452.0,0,-4.530301197,12604789338.0387,184.690476436
2020-01-31,8307,6,20,6.8102312637,13.803422752,17.3863458924,17685.0,1,3.513771881999986,11728616393.8933,180.160175239
2020-02-01,-4669,9,19,8.8201042294,16.835784487999998,18.3441103428,15818.0,1,4.943591047000012,11569697182.4858,183.673947121
2020-02-02,8709,8,23,9.9359880255,30.038466224,22.0255449175,75543.0,1,1.247525066999998,14054425388.9062,188.617538168
2020-02-03,12728,10,36,10.70032790035,24.874356588,33.4253145774,32917.0,0,-0.6144608419999997,12392875241.4011,189.865063235
2020-02-04,2700,11,20,11.3237301293,26.049127461,22.627140849,28537.0,1,14.979642305,11714191695.0612,189.250602393
2020-02-05,9784,8,22,10.71884193565,29.849794512,21.431363562999998,34975.0,1,8.108835046999985,14865434434.9265,204.230244698
2020-02-06,18566,7,38,9.64653685029,31.82119184,40.532271102,30260.0,1,10.386986545000012,16425589682.5221,212.339079745
2020-02-07,3977,16,28,13.47079199018,27.5090564815,29.020150933,25577.0,1,0.420455454000006,16673443564.2959,222.72606629
2020-02-08,11327,11,25,10.29082542785,23.778255955,24.9309179208,22495.0,1,5.432048246999983,16741203125.0677,223.146521744
2020-02-09,4391,18,21,16.715200435,26.030050834,21.2547484613,38674.0,0,-5.0558703609999895,15031356241.4966,228.578569991
2020-02-10,6474,11,17,10.47166878425,19.154492669,17.3738380976,27170.0,1,12.328499870999991,16210008511.4996,223.52269963
2020-02-11,6369,13,27,13.69969899097,32.650238897,26.6500618711,28117.0,1,29.55492660499999,16964695963.4936,235.851199501
2020-02-12,16868,14,42,15.8982746419,38.4632558625,42.6384689117,28341.0,1,2.693129938000027,24545049385.8684,265.406126106
2020-02-13,15727,13,35,16.54593593344,39.4769027695,33.9771597752,26869.0,1,16.118253564999975,25801317504.3066,268.099256044
